current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_pic_list
q7zu/xin-tai-wan-yuan-wei-gu-shan-mei-ming-dian,新台灣原味 (鼓山美明店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),滑蛋蝦仁,from $ 140,NA,1
q7zu/xin-tai-wan-yuan-wei-gu-shan-mei-ming-dian,新台灣原味 (鼓山美明店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),腐乳高麗菜,from $ 110,NA,1
q7zu/xin-tai-wan-yuan-wei-gu-shan-mei-ming-dian,新台灣原味 (鼓山美明店),4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),鹹蛋苦瓜,from $ 130,NA,1
y1nj/jin-cheng-ya-rou,金城鴨肉,4.7/5,NA,NA,鴨肉湯麵,from $ 60,NA,1
y1nj/jin-cheng-ya-rou,金城鴨肉,4.7/5,NA,NA,鴨肉冬粉湯,from $ 60,NA,0
y1nj/jin-cheng-ya-rou,金城鴨肉,4.7/5,NA,NA,鴨肉乾麵,from $ 65,NA,0
y1nj/jin-cheng-ya-rou,金城鴨肉,4.7/5,NA,NA,鴨肉飯,from $ 60,NA,0
y1nj/jin-cheng-ya-rou,金城鴨肉,4.7/5,NA,NA,鴨肉便當,from $ 80,NA,1
y1nj/jin-cheng-ya-rou,金城鴨肉,4.7/5,NA,NA,燙青菜,$ 40,NA,1
f2io/mo-dou-du-xiang-guo-1,茉荳獨享鍋,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻奶鍋燒麵,from $ 145,NA,1
